"Sepal.Length"	"Sepal.Width"	"Petal.Length"	"Petal.Width"	"Species"	"Ratio.Sepal.Petal"	"Av.Sepal.Length"
"1"	5.1	3.5	1.4	0.2	"setosa"	3.64285714285714	5.006
"2"	4.9	3	1.4	0.2	"setosa"	3.5	5.006
"3"	4.7	3.2	1.3	0.2	"setosa"	3.61538461538462	5.006
"4"	4.6	3.1	1.5	0.2	"setosa"	3.06666666666667	5.006
"5"	5	3.6	1.4	0.2	"setosa"	3.57142857142857	5.006
"6"	5.4	3.9	1.7	0.4	"setosa"	3.17647058823529	5.006
"7"	4.6	3.4	1.4	0.3	"setosa"	3.28571428571429	5.006
"8"	5	3.4	1.5	0.2	"setosa"	3.33333333333333	5.006
"9"	4.4	2.9	1.4	0.2	"setosa"	3.14285714285714	5.006
"10"	4.9	3.1	1.5	0.1	"setosa"	3.26666666666667	5.006
"11"	5.4	3.7	1.5	0.2	"setosa"	3.6	5.006
"12"	4.8	3.4	1.6	0.2	"setosa"	3	5.006
"13"	4.8	3	1.4	0.1	"setosa"	3.42857142857143	5.006
"14"	4.3	3	1.1	0.1	"setosa"	3.90909090909091	5.006
"15"	5.8	4	1.2	0.2	"setosa"	4.83333333333333	5.006
"16"	5.7	4.4	1.5	0.4	"setosa"	3.8	5.006
"17"	5.4	3.9	1.3	0.4	"setosa"	4.15384615384615	5.006
"18"	5.1	3.5	1.4	0.3	"setosa"	3.64285714285714	5.006
"19"	5.7	3.8	1.7	0.3	"setosa"	3.35294117647059	5.006
"20"	5.1	3.8	1.5	0.3	"setosa"	3.4	5.006
"21"	5.4	3.4	1.7	0.2	"setosa"	3.17647058823529	5.006
"22"	5.1	3.7	1.5	0.4	"setosa"	3.4	5.006
"23"	4.6	3.6	1	0.2	"setosa"	4.6	5.006
"24"	5.1	3.3	1.7	0.5	"setosa"	3	5.006
"25"	4.8	3.4	1.9	0.2	"setosa"	2.52631578947368	5.006
"26"	5	3	1.6	0.2	"setosa"	3.125	5.006
"27"	5	3.4	1.6	0.4	"setosa"	3.125	5.006
"28"	5.2	3.5	1.5	0.2	"setosa"	3.46666666666667	5.006
"29"	5.2	3.4	1.4	0.2	"setosa"	3.71428571428571	5.006
"30"	4.7	3.2	1.6	0.2	"setosa"	2.9375	5.006
"31"	4.8	3.1	1.6	0.2	"setosa"	3	5.006
